Customer ID,Recency,Frequency,Monetary
12446,58.0,58.0,1002.31
12447,244.0,26.0,476.49
12448,45.0,22.0,449.45
12449,23.0,201.0,4835.89
12450,157.0,38.0,666.95
12451,11.0,514.0,12546.53
12452,17.0,23.0,428.57
12453,135.0,43.0,707.09
12454,396.0,41.0,4318.96
12455,74.0,227.0,5879.95
12456,45.0,129.0,3153.89
12457,59.0,93.0,2472.31
12458,72.0,84.0,1777.49
12459,606.0,23.0,454.36
12460,457.0,18.0,326.65
12461,95.0,35.0,826.88
12462,3.0,72.0,1124.01
12463,54.0,85.0,1313.58
12464,11.0,29.0,1212.05
12465,8.0,51.0,733.89
12466,683.0,1.0,56.73
12468,144.0,160.0,3635.09
12469,523.0,76.0,3070.54
12470,690.0,23.0,211.95
12471,3.0,1293.0,37975.56
12472,31.0,955.0,15528.37
12473,30.0,177.0,2848.23
12474,18.0,744.0,12042.95
12475,54.0,61.0,1149.64
12476,2.0,554.0,13715.62
12477,23.0,571.0,20174.49
12478,4.0,36.0,680.99
12479,5.0,30.0,477.3
12480,29.0,245.0,5435.1
12481,23.0,383.0,12057.65
12482,577.0,202.0,21941.72
12483,18.0,148.0,4846.87
12484,33.0,483.0,6305.95
12485,530.0,34.0,708.1
12486,432.0,49.0,1037.28
12487,731.0,2.0,285.3
12488,10.0,55.0,1298.66
12489,337.0,15.0,334.93
12490,6.0,463.0,9818.64
12491,39.0,26.0,460.4
12492,64.0,42.0,715.21
12493,166.0,21.0,416.79
12494,10.0,115.0,1685.92
12495,641.0,15.0,323.4
12496,621.0,13.0,54.09
12497,82.0,57.0,6248.5
12498,22.0,23.0,403.7
12499,561.0,27.0,393.72
12500,24.0,151.0,5880.26
12501,316.0,158.0,2089.68
12502,96.0,147.0,3723.87
12503,585.0,2.0,1126.0
12504,31.0,14.0,411.0
12505,394.0,44.0,912.5
12506,233.0,23.0,73.5
12507,135.0,51.0,1797.31
12508,27.0,69.0,398.27
12509,285.0,7.0,176.5
12510,143.0,150.0,3353.33
12511,415.0,192.0,3065.77
12512,67.0,34.0,138.03
12513,113.0,34.0,586.79
12514,268.0,84.0,1597.76
12515,354.0,16.0,383.7
12516,78.0,74.0,2648.62
12517,29.0,286.0,2464.89
12518,1.0,124.0,2056.89
12519,64.0,40.0,695.19
12520,80.0,153.0,2582.51
12521,143.0,38.0,599.68
12522,40.0,12.0,192.72
12523,2.0,257.0,4220.85
12524,10.0,238.0,11091.36
12525,492.0,64.0,853.08
12526,1.0,71.0,1316.66
12527,82.0,32.0,735.51
12528,10.0,95.0,1922.28
12529,523.0,23.0,311.78
12530,60.0,158.0,3689.86
12531,15.0,131.0,1899.05
12532,31.0,16.0,349.83
12533,619.0,74.0,1149.99
12534,131.0,63.0,1089.18
12535,92.0,34.0,716.35
12536,8.0,252.0,4151.26
12537,409.0,43.0,732.94
12538,30.0,34.0,640.45
12539,23.0,504.0,11214.75
12540,20.0,774.0,22120.04
12541,30.0,52.0,981.18
12542,485.0,39.0,423.38
12543,449.0,43.0,980.25
12544,30.0,20.0,355.7
12545,76.0,50.0,1000.39
12546,47.0,68.0,1141.5
12547,198.0,21.0,383.58
12548,167.0,5.0,95.2
12549,576.0,49.0,1575.68
12550,80.0,57.0,964.83
12551,358.0,10.0,168.0
12552,39.0,20.0,437.82
12553,9.0,240.0,4548.82
12554,449.0,26.0,468.5
12555,683.0,1.0,129.23
12556,51.0,121.0,603.71
12557,17.0,53.0,18096.14
12559,311.0,20.0,536.21
12560,6.0,110.0,2111.47
12561,303.0,16.0,238.85
12562,9.0,207.0,4966.92
12563,409.0,13.0,249.24
12564,262.0,21.0,456.9
12565,282.0,10.0,131.17
12566,73.0,20.0,346.7
12567,23.0,575.0,11451.44
12568,645.0,5.0,70.0
12569,3.0,191.0,4064.99
12570,683.0,1.0,77.52
12571,40.0,34.0,519.61
12572,9.0,62.0,1004.72
12573,228.0,119.0,717.41
12574,316.0,11.0,218.45
12575,458.0,38.0,622.82
12576,36.0,141.0,2083.87
12577,36.0,300.0,1591.35
12578,22.0,180.0,4583.7
12579,79.0,29.0,410.72
12580,247.0,58.0,1052.9
12581,40.0,15.0,197.71
12582,239.0,103.0,1980.4
12583,3.0,449.0,13489.04
12584,4.0,118.0,1893.95
12585,235.0,97.0,1982.81
12586,18.0,93.0,2045.67
12587,8.0,4.0,144.0
12588,40.0,48.0,938.98
12589,29.0,210.0,3094.17
12590,191.0,70.0,9861.38
12591,318.0,69.0,1352.15
12592,93.0,80.0,1867.64
12593,109.0,21.0,418.1
12594,38.0,198.0,5044.51
12595,505.0,19.0,299.02
12596,52.0,27.0,618.27
12597,20.0,208.0,3683.13
12598,10.0,207.0,4414.67
12599,30.0,133.0,2296.72
12600,29.0,135.0,4902.6
12601,190.0,35.0,673.76
12602,59.0,12.0,153.12
12603,22.0,3.0,739.2
12604,80.0,16.0,254.18
12605,366.0,79.0,1225.45
12606,683.0,1.0,21.0
12608,405.0,16.0,415.79
12609,79.0,176.0,3417.86
12610,23.0,109.0,2057.99
12611,53.0,65.0,1193.32
12612,58.0,21.0,643.59
12613,32.0,332.0,6602.02
12614,278.0,20.0,315.6
12615,3.0,269.0,5570.83
12616,86.0,57.0,1045.35
12617,30.0,42.0,355.53
12618,22.0,11.0,177.31
12619,17.0,101.0,3354.95
12620,15.0,92.0,1339.41
12621,2.0,768.0,24114.7
12622,233.0,11.0,180.1
12623,277.0,176.0,3639.84
12624,107.0,38.0,641.13
12625,212.0,187.0,5100.48
12626,24.0,297.0,6388.35
12627,11.0,230.0,4478.53
12628,5.0,43.0,769.61
12629,386.0,45.0,1558.22
12630,10.0,64.0,1270.88
12631,58.0,186.0,3452.27
12632,521.0,36.0,738.88
12633,59.0,311.0,5595.21
12634,536.0,20.0,490.0
12635,90.0,179.0,2930.41
12636,739.0,1.0,141.0
12637,68.0,639.0,8271.66
12638,34.0,48.0,921.49
12639,239.0,64.0,1312.37
12640,24.0,53.0,1174.58
12641,116.0,10.0,185.9
12642,26.0,47.0,1013.26
12643,129.0,50.0,7894.42
12644,130.0,119.0,1815.54
12645,34.0,161.0,3499.1
12646,5.0,45.0,1346.97
12647,23.0,535.0,16729.74
12648,155.0,66.0,1097.0
12649,108.0,118.0,2258.5
12650,4.0,20.0,314.44
12651,335.0,32.0,365.3
12652,323.0,54.0,1011.58
12653,149.0,86.0,4160.83
12654,11.0,38.0,601.98
12655,424.0,16.0,261.35
12656,18.0,251.0,6320.78
12657,12.0,56.0,1152.06
12658,19.0,36.0,686.05
12659,30.0,5.0,91.68
12660,12.0,13.0,245.1
12661,437.0,11.0,162.0
12662,1.0,392.0,6687.69
12663,625.0,9.0,204.0
12664,9.0,46.0,6052.04
12665,325.0,21.0,301.45
12666,395.0,29.0,1020.98
12667,59.0,33.0,620.13
12668,8.0,544.0,11380.71
12669,151.0,100.0,1607.73
12670,11.0,117.0,3750.39
12671,607.0,45.0,2622.48
12672,330.0,23.0,410.5
12673,6.0,74.0,1230.02
12674,12.0,91.0,1919.31
12675,554.0,115.0,934.8
12676,25.0,108.0,2773.09
12677,556.0,22.0,394.25
12678,43.0,379.0,33851.13
12679,53.0,52.0,1070.47
12680,1.0,53.0,880.81
12681,15.0,1453.0,29518.24
12682,4.0,993.0,22870.52
12683,5.0,505.0,11370.37
12684,8.0,105.0,2283.63
12685,29.0,157.0,2863.08
12686,372.0,7.0,89.14
12687,481.0,126.0,2138.91
12688,114.0,171.0,4873.81
12689,26.0,72.0,1247.61
12690,206.0,16.0,389.01
12691,29.0,39.0,1170.4
12692,638.0,13.0,110.95
12693,121.0,81.0,1640.42
12694,71.0,84.0,1839.45
12695,8.0,59.0,1407.12
12696,435.0,49.0,851.91
12697,22.0,43.0,939.02
12698,591.0,16.0,339.75
12699,418.0,41.0,638.11
12700,8.0,270.0,4867.99
12701,80.0,147.0,2446.41
12702,20.0,12.0,219.0
12703,65.0,80.0,892.18
12704,8.0,90.0,2220.84
12705,16.0,619.0,11591.65
12707,292.0,33.0,603.42
12708,30.0,320.0,4936.57
12709,16.0,573.0,29793.21
12710,97.0,79.0,1130.57
12711,612.0,60.0,1339.05
12712,29.0,264.0,6526.78
12713,1.0,38.0,848.55
12714,10.0,696.0,14093.71
12715,107.0,21.0,353.86
12716,4.0,69.0,1053.49
12717,152.0,72.0,1258.91
12718,72.0,19.0,238.25
12719,6.0,40.0,608.1
12720,3.0,494.0,7575.33
12721,32.0,251.0,3933.83
12722,86.0,53.0,904.33
12723,4.0,69.0,725.07
12724,6.0,129.0,2317.52
12725,372.0,106.0,2266.76
12726,29.0,179.0,4014.6
12727,11.0,203.0,5646.53
12728,72.0,61.0,1070.17
12729,114.0,26.0,453.01
12730,522.0,47.0,829.25
12731,24.0,396.0,25673.21
12732,180.0,12.0,236.26
12733,235.0,162.0,2326.82
12734,353.0,19.0,639.65
12735,316.0,43.0,779.57
12736,333.0,4.0,234.0
12737,499.0,2.0,3710.5
12738,373.0,11.0,155.35
12739,79.0,89.0,2726.73
12740,64.0,27.0,427.6
12741,530.0,16.0,406.07
12742,626.0,66.0,1185.02
12743,135.0,134.0,546.43
12744,57.0,332.0,13158.16
12745,487.0,23.0,925.41
12746,528.0,19.0,235.8
12747,3.0,258.0,8806.03
12748,1.0,6890.0,47964.89
12749,4.0,393.0,6338.44
12750,129.0,15.0,275.88
12751,445.0,62.0,268.27
12752,82.0,53.0,4366.78
12753,4.0,230.0,21024.01
12754,236.0,63.0,3010.74
12755,250.0,66.0,2838.25
12756,87.0,4.0,112.08
12757,16.0,375.0,4227.7
12758,117.0,313.0,9779.0
12759,53.0,302.0,5020.74
12760,456.0,21.0,347.8
12761,458.0,27.0,782.95
12762,8.0,69.0,1898.52
12763,139.0,18.0,494.08
12764,317.0,45.0,1693.88
12765,473.0,68.0,1404.58
12766,4.0,404.0,8877.14
12767,376.0,43.0,949.82
12769,239.0,32.0,1143.6
12770,211.0,26.0,3042.45
12771,486.0,14.0,262.5
12772,60.0,55.0,892.47
12774,536.0,6.0,98.7
12775,18.0,80.0,1651.32
12776,668.0,4.0,55.5
12777,458.0,26.0,519.45
12778,20.0,115.0,1757.68
12779,22.0,283.0,6158.6
12780,599.0,20.0,337.4
12781,22.0,25.0,707.48
12782,5.0,240.0,4526.89
12783,3.0,82.0,1603.87
12784,10.0,131.0,1804.75
12785,3.0,56.0,1079.31
12786,610.0,18.0,728.5
12787,10.0,45.0,859.18
12788,464.0,26.0,444.9
12789,66.0,8.0,273.35
12790,193.0,38.0,563.45
12791,374.0,27.0,731.83
12792,257.0,47.0,827.01
12793,335.0,44.0,885.53
12794,54.0,45.0,860.41
12795,19.0,14.0,430.48
12796,629.0,7.0,381.0
12797,366.0,26.0,471.43
12798,11.0,33.0,8510.93
12799,530.0,15.0,219.35
12800,471.0,34.0,584.25
12801,478.0,51.0,1031.87
12802,187.0,136.0,2350.42
12803,394.0,55.0,1092.81
12804,466.0,67.0,327.02
12805,382.0,58.0,1434.95
12806,436.0,67.0,2878.96
12807,383.0,17.0,290.35
12808,37.0,47.0,776.7
12809,169.0,86.0,1713.29
12810,535.0,32.0,534.99
12811,261.0,56.0,1033.9
12812,45.0,15.0,229.64
12813,502.0,45.0,1687.8
12814,102.0,2.0,125.92
12815,148.0,47.0,1063.46
12816,96.0,29.0,572.2
12817,282.0,25.0,690.98
12818,179.0,16.0,1517.88
12819,459.0,19.0,540.52
12820,4.0,159.0,2647.94
12821,215.0,13.0,220.8
12822,71.0,45.0,918.98
12823,75.0,18.0,6501.5
12824,60.0,25.0,397.12
12825,522.0,24.0,518.63
12826,3.0,161.0,2784.2
12827,6.0,25.0,430.15
12828,3.0,56.0,1018.71
12829,323.0,20.0,345.35
12830,38.0,38.0,6814.64
12831,263.0,22.0,451.11
12832,33.0,27.0,383.03
12833,146.0,24.0,417.38
12834,283.0,18.0,312.38
12835,419.0,628.0,6027.57
12836,60.0,418.0,6546.47
12837,174.0,92.0,688.41
12838,34.0,366.0,2985.24
12839,3.0,559.0,9544.72
12840,144.0,179.0,4013.87
12841,5.0,671.0,6884.49
12842,71.0,48.0,1917.99
12843,66.0,226.0,6345.61
12844,30.0,103.0,648.6
12845,268.0,27.0,354.09
12846,683.0,1.0,15.58
12847,23.0,126.0,1636.9
12848,676.0,16.0,208.0
12849,32.0,148.0,3090.56
12850,446.0,2.0,330.0
12851,97.0,80.0,284.13
12852,291.0,20.0,299.75
12853,135.0,153.0,3728.5
12854,79.0,271.0,2922.37
12855,373.0,67.0,612.84
12856,8.0,317.0,2162.68
12857,211.0,122.0,3684.25
12858,384.0,49.0,177.92
12859,459.0,21.0,575.1
12860,694.0,17.0,55.47
12861,620.0,4.0,68.25
12862,426.0,133.0,1008.32
12863,53.0,49.0,2775.55
12864,139.0,7.0,299.57
12865,27.0,194.0,3303.31
12866,284.0,63.0,1227.35
12867,27.0,1073.0,7866.94
12868,186.0,134.0,2043.76
12869,682.0,37.0,337.67
12870,367.0,95.0,1662.05
12871,85.0,18.0,744.02
12872,327.0,399.0,3305.26
12873,283.0,35.0,2027.3
12874,386.0,47.0,933.42
12875,144.0,8.0,1356.99
12876,58.0,171.0,4068.59
12877,4.0,277.0,2955.17
12878,19.0,49.0,841.64
12879,45.0,12.0,552.57
12880,382.0,36.0,640.13
12881,276.0,7.0,298.0
12882,10.0,13.0,1463.04
12883,25.0,42.0,703.47
12884,89.0,7.0,309.05
12885,64.0,72.0,1158.27
12886,68.0,86.0,1351.09
12887,384.0,13.0,222.4
12888,215.0,7.0,313.77
12889,382.0,24.0,370.61
12890,25.0,139.0,717.27
12891,186.0,12.0,819.5
12892,397.0,18.0,263.38
12893,31.0,34.0,188.14
12894,576.0,21.0,157.35
12895,43.0,22.0,347.3
12897,205.0,14.0,514.25
12898,464.0,32.0,310.96
12899,414.0,17.0,366.4
12900,423.0,13.0,340.33
12901,9.0,121.0,16316.14
12902,265.0,10.0,138.68
12903,429.0,41.0,833.53
12904,19.0,72.0,509.58
12905,577.0,55.0,1011.82
12906,12.0,63.0,2919.81
12907,396.0,25.0,508.91
12908,177.0,6.0,1386.0
12909,40.0,167.0,3036.02
12910,24.0,138.0,5747.02
12911,552.0,248.0,1680.47
12912,3.0,24.0,1662.3
12913,5.0,92.0,6283.24
12914,401.0,9.0,223.98
12915,149.0,64.0,885.2
12916,139.0,186.0,4630.22
12917,129.0,53.0,4329.5
12919,9.0,52.0,1301.44
12920,18.0,60.0,488.09
12921,4.0,1555.0,34125.14
12922,162.0,28.0,405.38
12923,65.0,62.0,789.87
12924,89.0,76.0,2423.15
12925,5.0,50.0,729.33
12926,412.0,274.0,1548.46
12927,395.0,11.0,197.31
12928,36.0,179.0,4304.89
12929,312.0,7.0,102.9
12930,79.0,27.0,409.9
12931,22.0,275.0,71546.97
12932,540.0,95.0,1698.56
12933,25.0,294.0,1668.08
12934,737.0,2.0,181.65
12935,3.0,258.0,4182.01
12936,18.0,63.0,1012.9
12937,16.0,217.0,3097.61
12938,26.0,9.0,114.14
12939,65.0,86.0,25264.8
12940,47.0,102.0,877.54
12941,725.0,27.0,377.49
12942,132.0,75.0,683.9
12943,559.0,25.0,496.5
12944,36.0,30.0,604.51
12945,289.0,51.0,900.11
12946,437.0,20.0,324.45
12947,144.0,97.0,1407.29
12948,17.0,127.0,2306.18
12949,31.0,725.0,15391.0
12950,3.0,23.0,1843.0
12951,9.0,199.0,3164.42
12952,6.0,80.0,1382.84
12953,10.0,48.0,828.81
12954,639.0,10.0,162.45
12955,2.0,183.0,4734.26
12956,307.0,42.0,521.89
12957,5.0,500.0,8628.42
12958,401.0,57.0,539.49
12959,485.0,8.0,150.95
12960,414.0,70.0,1322.07
12961,380.0,40.0,211.99
12962,8.0,16.0,266.39
12963,9.0,176.0,3162.59
12964,438.0,26.0,132.24
12965,90.0,109.0,771.91
12966,10.0,10.0,160.18
12967,4.0,76.0,2515.12
12968,113.0,5.0,135.95
12969,603.0,5.0,122.45
12970,8.0,383.0,1524.97
12971,4.0,406.0,15218.05
12972,414.0,85.0,1115.95
12973,414.0,6.0,385.55
12974,198.0,32.0,408.95
12975,431.0,112.0,1993.99
12976,212.0,154.0,3156.38
12977,157.0,59.0,517.63
12978,386.0,164.0,2496.07
12979,730.0,55.0,479.54
12980,156.0,59.0,15909.39
12981,30.0,20.0,372.22
12982,240.0,211.0,2564.22
12983,599.0,30.0,490.08
12984,19.0,4.0,97.5
12985,1.0,74.0,1215.62
12986,403.0,132.0,2024.24
12987,74.0,68.0,1298.51
12988,293.0,92.0,535.32
12989,4.0,104.0,12917.65
12990,32.0,27.0,955.5
12991,24.0,45.0,764.82
12992,726.0,6.0,93.35
12993,24.0,76.0,1191.26
12994,5.0,73.0,902.22
12995,78.0,5.0,200.72
12996,376.0,22.0,355.5
12997,23.0,120.0,2070.06
12998,493.0,59.0,897.38
12999,197.0,28.0,455.88
13000,107.0,62.0,992.0
13001,5.0,1029.0,24136.05
13002,319.0,23.0,414.13
13003,106.0,6.0,149.05
13004,12.0,839.0,11143.99
13005,174.0,60.0,935.03
13006,57.0,4.0,81.57
13007,580.0,11.0,175.25
13008,324.0,33.0,545.83
13009,673.0,4.0,234.0
13010,375.0,12.0,330.12
13011,373.0,3.0,50.55
13012,10.0,156.0,2596.28
13013,2.0,490.0,11073.48
13014,3.0,240.0,5220.83
13015,54.0,347.0,6465.72
13016,74.0,47.0,789.89
13017,8.0,1.0,204.0
13018,17.0,606.0,9742.81
13019,380.0,57.0,1212.95
13020,549.0,42.0,606.96
13021,5.0,263.0,4806.66
13022,430.0,5.0,65.3
13023,65.0,76.0,1449.03
13024,465.0,34.0,535.42
13025,732.0,13.0,323.39
13026,2.0,84.0,1712.74
13027,114.0,87.0,17239.2
13028,23.0,47.0,659.68
13029,31.0,17.0,1927.3
13030,12.0,99.0,799.48
13031,408.0,435.0,3419.27
13032,39.0,218.0,2825.54
13033,358.0,13.0,220.55
13034,55.0,44.0,756.82
13035,58.0,43.0,1328.95
13036,685.0,6.0,307.1
13037,139.0,235.0,3842.55
13038,81.0,28.0,908.46
13039,585.0,55.0,1010.73
13040,9.0,43.0,676.99
13041,451.0,35.0,799.13
13042,599.0,198.0,1549.79
13043,254.0,14.0,471.57
13044,292.0,421.0,4824.2
13045,100.0,45.0,808.92
13046,31.0,56.0,949.25
13047,47.0,420.0,8111.34
13048,15.0,272.0,4041.91
13049,65.0,28.0,1384.14
13050,10.0,1025.0,11492.43
13051,579.0,4.0,155.8
13052,213.0,253.0,3168.53
13053,622.0,17.0,127.65
13055,65.0,156.0,2292.51
13056,552.0,19.0,209.48
13057,531.0,41.0,722.09
13058,25.0,8.0,271.4
13059,250.0,205.0,2272.62
13060,254.0,15.0,307.53
13061,73.0,10.0,248.61
13062,192.0,11.0,346.98
13063,481.0,12.0,188.4
13064,13.0,94.0,1680.74
13065,374.0,63.0,1050.1
13066,25.0,47.0,430.9
13067,83.0,32.0,508.51
13068,11.0,2.0,344.0
13069,1.0,1105.0,8467.57
13070,193.0,35.0,743.9
13071,613.0,12.0,129.22
13072,267.0,7.0,177.15
13073,412.0,27.0,418.08
13074,512.0,30.0,1362.84
13075,130.0,22.0,919.61
13076,458.0,9.0,135.4
13077,2.0,337.0,2728.55
13078,2.0,844.0,28388.49
13079,5.0,17.0,419.18
13080,180.0,18.0,260.83
13081,2.0,2345.0,55985.86
13082,127.0,133.0,7277.32
13083,5.0,22.0,395.43
13084,488.0,4.0,116.45
13085,158.0,81.0,2289.58
13086,383.0,47.0,439.33
13087,727.0,15.0,313.64
13088,418.0,20.0,236.11
13089,3.0,3395.0,110034.32
13090,9.0,283.0,12762.88
13091,22.0,19.0,1468.67
13092,71.0,103.0,2007.33
13093,268.0,1087.0,53324.85
13094,22.0,35.0,1990.98
13095,71.0,6.0,74.4
13096,395.0,1.0,419.7
13097,33.0,1039.0,12876.68
13098,2.0,597.0,28739.66
13099,100.0,1.0,207.36
13101,235.0,51.0,695.4
13102,2.0,489.0,11123.3
13103,40.0,33.0,709.64
13104,4.0,30.0,1709.1
13105,437.0,1.0,72.0
13106,129.0,17.0,586.46
13107,45.0,186.0,5122.32
13108,373.0,35.0,748.46
13109,3.0,74.0,1107.58
13110,32.0,252.0,2896.17
13111,719.0,12.0,321.88
13113,1.0,464.0,16281.16
13114,731.0,16.0,234.38
13115,9.0,328.0,5400.05
13116,118.0,31.0,485.19
13117,22.0,163.0,2253.96
13118,20.0,150.0,2334.1
13119,669.0,11.0,134.9
13120,239.0,1.0,30.6
13121,270.0,47.0,254.73
13122,95.0,55.0,922.39
13123,473.0,45.0,506.75
13124,90.0,298.0,4782.45
13125,524.0,21.0,158.57
13126,5.0,241.0,3679.03
13127,78.0,15.0,259.17
13128,632.0,1.0,263.5
13129,453.0,11.0,233.25
13130,95.0,2.0,64.0
13131,24.0,151.0,3279.77
13132,262.0,3.0,77.3
13133,274.0,12.0,200.45
13134,73.0,128.0,2422.28
13135,197.0,18.0,3371.45
13136,51.0,339.0,6125.65
13137,11.0,1441.0,7712.7
13138,23.0,84.0,1261.26
13139,17.0,269.0,8193.83
13140,109.0,106.0,1056.17
13141,85.0,429.0,7536.63
13142,20.0,23.0,307.09
13143,583.0,24.0,399.2
13144,333.0,6.0,135.35
13145,40.0,10.0,1124.77
13146,27.0,17.0,228.91
13147,11.0,4.0,712.8
13148,30.0,815.0,8172.8
13149,15.0,86.0,1676.06
13150,471.0,9.0,435.02
13151,204.0,178.0,2557.29
13152,418.0,136.0,2114.98
13153,6.0,15.0,486.22
13154,400.0,94.0,1609.29
13155,34.0,112.0,1370.48
13156,386.0,104.0,1586.54
13157,50.0,251.0,5667.71
13158,95.0,100.0,1508.18
13159,9.0,122.0,1379.75
13160,23.0,4.0,91.8
13161,314.0,34.0,478.88
13162,123.0,239.0,9116.94
13164,570.0,11.0,308.45
13165,47.0,49.0,1451.16
13166,283.0,70.0,881.68
13167,19.0,81.0,1125.15
13168,37.0,182.0,1866.26
13169,64.0,18.0,840.08
13170,27.0,32.0,116.01
13171,9.0,48.0,426.81
13172,401.0,1.0,69.6
13173,5.0,229.0,2454.56
13174,17.0,963.0,8078.87
13175,555.0,49.0,793.1
13176,47.0,72.0,492.84
13177,65.0,30.0,512.2
13178,27.0,693.0,14013.19
13179,619.0,34.0,572.31
13180,608.0,4.0,86.1
13181,382.0,19.0,359.69
13182,46.0,11.0,121.18
13183,8.0,159.0,7010.88
13184,15.0,181.0,1648.79
13185,268.0,1.0,71.4
13186,40.0,84.0,1539.69
13187,338.0,65.0,348.31
13188,12.0,2.0,114.6
13189,19.0,29.0,260.68
13190,545.0,18.0,518.76
13191,659.0,59.0,164.69
13192,96.0,165.0,2544.53
13193,62.0,29.0,117.88
13194,136.0,10.0,472.78
13195,415.0,52.0,172.38
13196,12.0,190.0,3059.64
13197,610.0,19.0,373.01
13198,11.0,316.0,4912.28
13199,4.0,203.0,15936.3
13200,20.0,46.0,870.09
13201,503.0,88.0,1240.61
13202,379.0,70.0,1571.35
13203,10.0,168.0,2630.55
13204,732.0,57.0,966.66
13205,444.0,1.0,2803.2
13206,401.0,581.0,8377.32
13207,16.0,13.0,535.86
13208,59.0,255.0,1970.5
13209,31.0,372.0,8461.66
13210,94.0,22.0,353.48
13211,11.0,206.0,2729.32
13212,10.0,143.0,780.58
13213,57.0,209.0,3834.62
13214,418.0,229.0,3264.23
13215,403.0,1.0,81.6
13216,268.0,5.0,333.74
13217,123.0,6.0,266.12
13218,128.0,5.0,62.64
13219,619.0,11.0,76.23
13220,79.0,53.0,1336.09
13221,241.0,66.0,847.41
13222,578.0,1.0,88.5
13223,201.0,13.0,969.12
13224,61.0,109.0,2150.85
13225,4.0,124.0,15879.27
13226,274.0,28.0,312.46
13227,202.0,9.0,257.7
13228,82.0,2.0,358.0
13229,226.0,10.0,160.95
13230,5.0,1327.0,6223.77
13232,13.0,207.0,1357.6
13233,75.0,76.0,1176.46
13234,673.0,63.0,356.95
13235,213.0,58.0,1031.07
13236,25.0,39.0,727.27
13237,388.0,24.0,643.0
13238,18.0,46.0,986.73
13239,262.0,95.0,1579.84
13240,97.0,211.0,1437.1
13241,412.0,42.0,115.58
13242,113.0,35.0,699.4
13243,204.0,220.0,1278.04
13244,93.0,27.0,121.74
13245,51.0,45.0,989.22
13246,19.0,383.0,3277.68
13247,18.0,25.0,501.12
13248,125.0,26.0,465.68
13249,93.0,35.0,1608.93
13250,453.0,21.0,248.54
13251,403.0,25.0,252.68
13252,395.0,20.0,341.3
13253,157.0,75.0,2951.11
13254,377.0,4.0,51.41
13255,4.0,27.0,669.91
13256,15.0,1.0,0.0
13257,435.0,7.0,117.95
13258,12.0,46.0,1035.18
