Customer ID,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score
12438,15.0,98.0,2906.85,5,4,5,545
12439,683.0,71.0,1104.48,1,3,3,133
12440,458.0,35.0,768.15,1,2,3,123
12441,367.0,11.0,173.55,2,1,1,211
12442,4.0,12.0,172.06,5,1,1,511
12443,733.0,21.0,485.31,1,2,2,122
12444,22.0,177.0,5005.46,4,4,5,445
12445,23.0,25.0,426.48,4,2,2,422
12446,58.0,58.0,1002.31,4,3,3,433
12447,244.0,26.0,476.49,2,2,2,222
12448,45.0,22.0,449.45,4,2,2,422
12449,23.0,201.0,4835.89,4,5,5,455
12450,157.0,38.0,666.95,3,2,3,323
12451,11.0,514.0,12546.53,5,5,5,555
12452,17.0,23.0,428.57,5,2,2,522
12453,135.0,43.0,707.09,3,3,3,333
12454,396.0,41.0,4318.96,2,3,5,235
12455,74.0,227.0,5879.95,3,5,5,355
12456,45.0,129.0,3153.89,4,4,5,445
12457,59.0,93.0,2472.31,3,4,4,344
12458,72.0,84.0,1777.49,3,4,4,344
12459,606.0,23.0,454.36,1,2,2,122
12460,457.0,18.0,326.65,1,2,2,122
12461,95.0,35.0,826.88,3,2,3,323
12462,3.0,72.0,1124.01,5,3,3,533
12463,54.0,85.0,1313.58,4,4,4,444
12464,11.0,29.0,1212.05,5,2,4,524
12465,8.0,51.0,733.89,5,3,3,533
12466,683.0,1.0,56.73,1,1,1,111
12468,144.0,160.0,3635.09,3,4,5,345
12469,523.0,76.0,3070.54,1,3,5,135
12470,690.0,23.0,211.95,1,2,1,121
12471,3.0,1293.0,37975.56,5,5,5,555
12472,31.0,955.0,15528.37,4,5,5,455
12473,30.0,177.0,2848.23,4,4,4,444
12474,18.0,744.0,12042.95,5,5,5,555
12475,54.0,61.0,1149.64,4,3,3,433
12476,2.0,554.0,13715.62,5,5,5,555
12477,23.0,571.0,20174.49,4,5,5,455
12478,4.0,36.0,680.99,5,2,3,523
12479,5.0,30.0,477.3,5,2,2,522
12480,29.0,245.0,5435.1,4,5,5,455
12481,23.0,383.0,12057.65,4,5,5,455
12482,577.0,202.0,21941.72,1,5,5,155
12483,18.0,148.0,4846.87,5,4,5,545
12484,33.0,483.0,6305.95,4,5,5,455
12485,530.0,34.0,708.1,1,2,3,123
12486,432.0,49.0,1037.28,1,3,3,133
12487,731.0,2.0,285.3,1,1,2,112
12488,10.0,55.0,1298.66,5,3,4,534
12489,337.0,15.0,334.93,2,1,2,212
12490,6.0,463.0,9818.64,5,5,5,555
12491,39.0,26.0,460.4,4,2,2,422
12492,64.0,42.0,715.21,3,3,3,333
12493,166.0,21.0,416.79,3,2,2,322
12494,10.0,115.0,1685.92,5,4,4,544
12495,641.0,15.0,323.4,1,1,2,112
12496,621.0,13.0,54.09,1,1,1,111
12497,82.0,57.0,6248.5,3,3,5,335
12498,22.0,23.0,403.7,4,2,2,422
12499,561.0,27.0,393.72,1,2,2,122
12500,24.0,151.0,5880.26,4,4,5,445
12501,316.0,158.0,2089.68,2,4,4,244
12502,96.0,147.0,3723.87,3,4,5,345
12503,585.0,2.0,1126.0,1,1,3,113
12504,31.0,14.0,411.0,4,1,2,412
12505,394.0,44.0,912.5,2,3,3,233
12506,233.0,23.0,73.5,2,2,1,221
12507,135.0,51.0,1797.31,3,3,4,334
12508,27.0,69.0,398.27,4,3,2,432
12509,285.0,7.0,176.5,2,1,1,211
12510,143.0,150.0,3353.33,3,4,5,345
12511,415.0,192.0,3065.77,1,5,5,155
12512,67.0,34.0,138.03,3,2,1,321
12513,113.0,34.0,586.79,3,2,2,322
12514,268.0,84.0,1597.76,2,4,4,244
12515,354.0,16.0,383.7,2,1,2,212
12516,78.0,74.0,2648.62,3,3,4,334
12517,29.0,286.0,2464.89,4,5,4,454
12518,1.0,124.0,2056.89,5,4,4,544
12519,64.0,40.0,695.19,3,3,3,333
12520,80.0,153.0,2582.51,3,4,4,344
12521,143.0,38.0,599.68,3,2,2,322
12522,40.0,12.0,192.72,4,1,1,411
12523,2.0,257.0,4220.85,5,5,5,555
12524,10.0,238.0,11091.36,5,5,5,555
12525,492.0,64.0,853.08,1,3,3,133
12526,1.0,71.0,1316.66,5,3,4,534
12527,82.0,32.0,735.51,3,2,3,323
12528,10.0,95.0,1922.28,5,4,4,544
12529,523.0,23.0,311.78,1,2,2,122
12530,60.0,158.0,3689.86,3,4,5,345
12531,15.0,131.0,1899.05,5,4,4,544
12532,31.0,16.0,349.83,4,1,2,412
12533,619.0,74.0,1149.99,1,3,3,133
12534,131.0,63.0,1089.18,3,3,3,333
12535,92.0,34.0,716.35,3,2,3,323
12536,8.0,252.0,4151.26,5,5,5,555
12537,409.0,43.0,732.94,2,3,3,233
12538,30.0,34.0,640.45,4,2,3,423
12539,23.0,504.0,11214.75,4,5,5,455
12540,20.0,774.0,22120.04,4,5,5,455
12541,30.0,52.0,981.18,4,3,3,433
12542,485.0,39.0,423.38,1,3,2,132
12543,449.0,43.0,980.25,1,3,3,133
12544,30.0,20.0,355.7,4,2,2,422
12545,76.0,50.0,1000.39,3,3,3,333
12546,47.0,68.0,1141.5,4,3,3,433
12547,198.0,21.0,383.58,2,2,2,222
12548,167.0,5.0,95.2,3,1,1,311
12549,576.0,49.0,1575.68,1,3,4,134
12550,80.0,57.0,964.83,3,3,3,333
12551,358.0,10.0,168.0,2,1,1,211
12552,39.0,20.0,437.82,4,2,2,422
12553,9.0,240.0,4548.82,5,5,5,555
12554,449.0,26.0,468.5,1,2,2,122
12555,683.0,1.0,129.23,1,1,1,111
12556,51.0,121.0,603.71,4,4,3,443
12557,17.0,53.0,18096.14,5,3,5,535
12559,311.0,20.0,536.21,2,2,2,222
12560,6.0,110.0,2111.47,5,4,4,544
12561,303.0,16.0,238.85,2,1,1,211
12562,9.0,207.0,4966.92,5,5,5,555
12563,409.0,13.0,249.24,2,1,1,211
12564,262.0,21.0,456.9,2,2,2,222
12565,282.0,10.0,131.17,2,1,1,211
12566,73.0,20.0,346.7,3,2,2,322
12567,23.0,575.0,11451.44,4,5,5,455
12568,645.0,5.0,70.0,1,1,1,111
12569,3.0,191.0,4064.99,5,5,5,555
12570,683.0,1.0,77.52,1,1,1,111
12571,40.0,34.0,519.61,4,2,2,422
12572,9.0,62.0,1004.72,5,3,3,533
12573,228.0,119.0,717.41,2,4,3,243
12574,316.0,11.0,218.45,2,1,1,211
12575,458.0,38.0,622.82,1,2,3,123
12576,36.0,141.0,2083.87,4,4,4,444
12577,36.0,300.0,1591.35,4,5,4,454
12578,22.0,180.0,4583.7,4,5,5,455
12579,79.0,29.0,410.72,3,2,2,322
12580,247.0,58.0,1052.9,2,3,3,233
12581,40.0,15.0,197.71,4,1,1,411
12582,239.0,103.0,1980.4,2,4,4,244
12583,3.0,449.0,13489.04,5,5,5,555
12584,4.0,118.0,1893.95,5,4,4,544
12585,235.0,97.0,1982.81,2,4,4,244
12586,18.0,93.0,2045.67,5,4,4,544
12587,8.0,4.0,144.0,5,1,1,511
12588,40.0,48.0,938.98,4,3,3,433
12589,29.0,210.0,3094.17,4,5,5,455
12590,191.0,70.0,9861.38,2,3,5,235
12591,318.0,69.0,1352.15,2,3,4,234
12592,93.0,80.0,1867.64,3,4,4,344
12593,109.0,21.0,418.1,3,2,2,322
12594,38.0,198.0,5044.51,4,5,5,455
12595,505.0,19.0,299.02,1,2,2,122
12596,52.0,27.0,618.27,4,2,3,423
12597,20.0,208.0,3683.13,4,5,5,455
12598,10.0,207.0,4414.67,5,5,5,555
12599,30.0,133.0,2296.72,4,4,4,444
12600,29.0,135.0,4902.6,4,4,5,445
12601,190.0,35.0,673.76,2,2,3,223
12602,59.0,12.0,153.12,3,1,1,311
12603,22.0,3.0,739.2,4,1,3,413
12604,80.0,16.0,254.18,3,1,1,311
12605,366.0,79.0,1225.45,2,4,4,244
12606,683.0,1.0,21.0,1,1,1,111
12608,405.0,16.0,415.79,2,1,2,212
12609,79.0,176.0,3417.86,3,4,5,345
12610,23.0,109.0,2057.99,4,4,4,444
12611,53.0,65.0,1193.32,4,3,3,433
12612,58.0,21.0,643.59,4,2,3,423
12613,32.0,332.0,6602.02,4,5,5,455
12614,278.0,20.0,315.6,2,2,2,222
12615,3.0,269.0,5570.83,5,5,5,555
12616,86.0,57.0,1045.35,3,3,3,333
12617,30.0,42.0,355.53,4,3,2,432
12618,22.0,11.0,177.31,4,1,1,411
12619,17.0,101.0,3354.95,5,4,5,545
12620,15.0,92.0,1339.41,5,4,4,544
12621,2.0,768.0,24114.7,5,5,5,555
12622,233.0,11.0,180.1,2,1,1,211
12623,277.0,176.0,3639.84,2,4,5,245
12624,107.0,38.0,641.13,3,2,3,323
12625,212.0,187.0,5100.48,2,5,5,255
12626,24.0,297.0,6388.35,4,5,5,455
12627,11.0,230.0,4478.53,5,5,5,555
12628,5.0,43.0,769.61,5,3,3,533
12629,386.0,45.0,1558.22,2,3,4,234
12630,10.0,64.0,1270.88,5,3,4,534
12631,58.0,186.0,3452.27,4,5,5,455
12632,521.0,36.0,738.88,1,2,3,123
12633,59.0,311.0,5595.21,3,5,5,355
12634,536.0,20.0,490.0,1,2,2,122
12635,90.0,179.0,2930.41,3,4,5,345
12636,739.0,1.0,141.0,1,1,1,111
12637,68.0,639.0,8271.66,3,5,5,355
12638,34.0,48.0,921.49,4,3,3,433
12639,239.0,64.0,1312.37,2,3,4,234
12640,24.0,53.0,1174.58,4,3,3,433
12641,116.0,10.0,185.9,3,1,1,311
12642,26.0,47.0,1013.26,4,3,3,433
12643,129.0,50.0,7894.42,3,3,5,335
12644,130.0,119.0,1815.54,3,4,4,344
12645,34.0,161.0,3499.1,4,4,5,445
12646,5.0,45.0,1346.97,5,3,4,534
12647,23.0,535.0,16729.74,4,5,5,455
12648,155.0,66.0,1097.0,3,3,3,333
12649,108.0,118.0,2258.5,3,4,4,344
12650,4.0,20.0,314.44,5,2,2,522
12651,335.0,32.0,365.3,2,2,2,222
12652,323.0,54.0,1011.58,2,3,3,233
12653,149.0,86.0,4160.83,3,4,5,345
12654,11.0,38.0,601.98,5,2,2,522
12655,424.0,16.0,261.35,1,1,1,111
12656,18.0,251.0,6320.78,5,5,5,555
12657,12.0,56.0,1152.06,5,3,3,533
12658,19.0,36.0,686.05,5,2,3,523
12659,30.0,5.0,91.68,4,1,1,411
12660,12.0,13.0,245.1,5,1,1,511
12661,437.0,11.0,162.0,1,1,1,111
12662,1.0,392.0,6687.69,5,5,5,555
12663,625.0,9.0,204.0,1,1,1,111
12664,9.0,46.0,6052.04,5,3,5,535
12665,325.0,21.0,301.45,2,2,2,222
12666,395.0,29.0,1020.98,2,2,3,223
12667,59.0,33.0,620.13,3,2,3,323
12668,8.0,544.0,11380.71,5,5,5,555
12669,151.0,100.0,1607.73,3,4,4,344
12670,11.0,117.0,3750.39,5,4,5,545
12671,607.0,45.0,2622.48,1,3,4,134
12672,330.0,23.0,410.5,2,2,2,222
12673,6.0,74.0,1230.02,5,3,4,534
12674,12.0,91.0,1919.31,5,4,4,544
12675,554.0,115.0,934.8,1,4,3,143
12676,25.0,108.0,2773.09,4,4,4,444
12677,556.0,22.0,394.25,1,2,2,122
12678,43.0,379.0,33851.13,4,5,5,455
12679,53.0,52.0,1070.47,4,3,3,433
12680,1.0,53.0,880.81,5,3,3,533
12681,15.0,1453.0,29518.24,5,5,5,555
12682,4.0,993.0,22870.52,5,5,5,555
12683,5.0,505.0,11370.37,5,5,5,555
12684,8.0,105.0,2283.63,5,4,4,544
12685,29.0,157.0,2863.08,4,4,4,444
12686,372.0,7.0,89.14,2,1,1,211
12687,481.0,126.0,2138.91,1,4,4,144
12688,114.0,171.0,4873.81,3,4,5,345
12689,26.0,72.0,1247.61,4,3,4,434
12690,206.0,16.0,389.01,2,1,2,212
12691,29.0,39.0,1170.4,4,3,3,433
12692,638.0,13.0,110.95,1,1,1,111
12693,121.0,81.0,1640.42,3,4,4,344
12694,71.0,84.0,1839.45,3,4,4,344
12695,8.0,59.0,1407.12,5,3,4,534
12696,435.0,49.0,851.91,1,3,3,133
12697,22.0,43.0,939.02,4,3,3,433
12698,591.0,16.0,339.75,1,1,2,112
12699,418.0,41.0,638.11,1,3,3,133
12700,8.0,270.0,4867.99,5,5,5,555
12701,80.0,147.0,2446.41,3,4,4,344
12702,20.0,12.0,219.0,4,1,1,411
12703,65.0,80.0,892.18,3,4,3,343
12704,8.0,90.0,2220.84,5,4,4,544
12705,16.0,619.0,11591.65,5,5,5,555
12707,292.0,33.0,603.42,2,2,3,223
12708,30.0,320.0,4936.57,4,5,5,455
12709,16.0,573.0,29793.21,5,5,5,555
12710,97.0,79.0,1130.57,3,4,3,343
12711,612.0,60.0,1339.05,1,3,4,134
12712,29.0,264.0,6526.78,4,5,5,455
12713,1.0,38.0,848.55,5,2,3,523
12714,10.0,696.0,14093.71,5,5,5,555
12715,107.0,21.0,353.86,3,2,2,322
12716,4.0,69.0,1053.49,5,3,3,533
12717,152.0,72.0,1258.91,3,3,4,334
12718,72.0,19.0,238.25,3,2,1,321
12719,6.0,40.0,608.1,5,3,3,533
12720,3.0,494.0,7575.33,5,5,5,555
12721,32.0,251.0,3933.83,4,5,5,455
12722,86.0,53.0,904.33,3,3,3,333
12723,4.0,69.0,725.07,5,3,3,533
12724,6.0,129.0,2317.52,5,4,4,544
12725,372.0,106.0,2266.76,2,4,4,244
12726,29.0,179.0,4014.6,4,4,5,445
12727,11.0,203.0,5646.53,5,5,5,555
12728,72.0,61.0,1070.17,3,3,3,333
12729,114.0,26.0,453.01,3,2,2,322
12730,522.0,47.0,829.25,1,3,3,133
12731,24.0,396.0,25673.21,4,5,5,455
12732,180.0,12.0,236.26,3,1,1,311
12733,235.0,162.0,2326.82,2,4,4,244
12734,353.0,19.0,639.65,2,2,3,223
12735,316.0,43.0,779.57,2,3,3,233
12736,333.0,4.0,234.0,2,1,1,211
12737,499.0,2.0,3710.5,1,1,5,115
12738,373.0,11.0,155.35,2,1,1,211
12739,79.0,89.0,2726.73,3,4,4,344
12740,64.0,27.0,427.6,3,2,2,322
12741,530.0,16.0,406.07,1,1,2,112
12742,626.0,66.0,1185.02,1,3,3,133
12743,135.0,134.0,546.43,3,4,2,342
12744,57.0,332.0,13158.16,4,5,5,455
12745,487.0,23.0,925.41,1,2,3,123
12746,528.0,19.0,235.8,1,2,1,121
12747,3.0,258.0,8806.03,5,5,5,555
12748,1.0,6890.0,47964.89,5,5,5,555
12749,4.0,393.0,6338.44,5,5,5,555
12750,129.0,15.0,275.88,3,1,1,311
12751,445.0,62.0,268.27,1,3,1,131
12752,82.0,53.0,4366.78,3,3,5,335
12753,4.0,230.0,21024.01,5,5,5,555
12754,236.0,63.0,3010.74,2,3,5,235
12755,250.0,66.0,2838.25,2,3,4,234
12756,87.0,4.0,112.08,3,1,1,311
12757,16.0,375.0,4227.7,5,5,5,555
12758,117.0,313.0,9779.0,3,5,5,355
12759,53.0,302.0,5020.74,4,5,5,455
12760,456.0,21.0,347.8,1,2,2,122
12761,458.0,27.0,782.95,1,2,3,123
12762,8.0,69.0,1898.52,5,3,4,534
12763,139.0,18.0,494.08,3,2,2,322
12764,317.0,45.0,1693.88,2,3,4,234
12765,473.0,68.0,1404.58,1,3,4,134
12766,4.0,404.0,8877.14,5,5,5,555
12767,376.0,43.0,949.82,2,3,3,233
12769,239.0,32.0,1143.6,2,2,3,223
12770,211.0,26.0,3042.45,2,2,5,225
12771,486.0,14.0,262.5,1,1,1,111
12772,60.0,55.0,892.47,3,3,3,333
12774,536.0,6.0,98.7,1,1,1,111
12775,18.0,80.0,1651.32,5,4,4,544
12776,668.0,4.0,55.5,1,1,1,111
12777,458.0,26.0,519.45,1,2,2,122
12778,20.0,115.0,1757.68,4,4,4,444
12779,22.0,283.0,6158.6,4,5,5,455
12780,599.0,20.0,337.4,1,2,2,122
12781,22.0,25.0,707.48,4,2,3,423
12782,5.0,240.0,4526.89,5,5,5,555
12783,3.0,82.0,1603.87,5,4,4,544
12784,10.0,131.0,1804.75,5,4,4,544
12785,3.0,56.0,1079.31,5,3,3,533
12786,610.0,18.0,728.5,1,2,3,123
12787,10.0,45.0,859.18,5,3,3,533
12788,464.0,26.0,444.9,1,2,2,122
12789,66.0,8.0,273.35,3,1,1,311
12790,193.0,38.0,563.45,2,2,2,222
12791,374.0,27.0,731.83,2,2,3,223
12792,257.0,47.0,827.01,2,3,3,233
12793,335.0,44.0,885.53,2,3,3,233
12794,54.0,45.0,860.41,4,3,3,433
12795,19.0,14.0,430.48,5,1,2,512
12796,629.0,7.0,381.0,1,1,2,112
12797,366.0,26.0,471.43,2,2,2,222
12798,11.0,33.0,8510.93,5,2,5,525
12799,530.0,15.0,219.35,1,1,1,111
12800,471.0,34.0,584.25,1,2,2,122
12801,478.0,51.0,1031.87,1,3,3,133
12802,187.0,136.0,2350.42,2,4,4,244
12803,394.0,55.0,1092.81,2,3,3,233
12804,466.0,67.0,327.02,1,3,2,132
12805,382.0,58.0,1434.95,2,3,4,234
12806,436.0,67.0,2878.96,1,3,5,135
12807,383.0,17.0,290.35,2,1,2,212
12808,37.0,47.0,776.7,4,3,3,433
12809,169.0,86.0,1713.29,3,4,4,344
12810,535.0,32.0,534.99,1,2,2,122
12811,261.0,56.0,1033.9,2,3,3,233
12812,45.0,15.0,229.64,4,1,1,411
12813,502.0,45.0,1687.8,1,3,4,134
12814,102.0,2.0,125.92,3,1,1,311
12815,148.0,47.0,1063.46,3,3,3,333
12816,96.0,29.0,572.2,3,2,2,322
12817,282.0,25.0,690.98,2,2,3,223
12818,179.0,16.0,1517.88,3,1,4,314
12819,459.0,19.0,540.52,1,2,2,122
12820,4.0,159.0,2647.94,5,4,4,544
12821,215.0,13.0,220.8,2,1,1,211
12822,71.0,45.0,918.98,3,3,3,333
12823,75.0,18.0,6501.5,3,2,5,325
12824,60.0,25.0,397.12,3,2,2,322
12825,522.0,24.0,518.63,1,2,2,122
12826,3.0,161.0,2784.2,5,4,4,544
12827,6.0,25.0,430.15,5,2,2,522
12828,3.0,56.0,1018.71,5,3,3,533
12829,323.0,20.0,345.35,2,2,2,222
12830,38.0,38.0,6814.64,4,2,5,425
12831,263.0,22.0,451.11,2,2,2,222
12832,33.0,27.0,383.03,4,2,2,422
12833,146.0,24.0,417.38,3,2,2,322
12834,283.0,18.0,312.38,2,2,2,222
12835,419.0,628.0,6027.57,1,5,5,155
12836,60.0,418.0,6546.47,3,5,5,355
12837,174.0,92.0,688.41,3,4,3,343
12838,34.0,366.0,2985.24,4,5,5,455
12839,3.0,559.0,9544.72,5,5,5,555
12840,144.0,179.0,4013.87,3,4,5,345
12841,5.0,671.0,6884.49,5,5,5,555
12842,71.0,48.0,1917.99,3,3,4,334
12843,66.0,226.0,6345.61,3,5,5,355
12844,30.0,103.0,648.6,4,4,3,443
12845,268.0,27.0,354.09,2,2,2,222
12846,683.0,1.0,15.58,1,1,1,111
12847,23.0,126.0,1636.9,4,4,4,444
12848,676.0,16.0,208.0,1,1,1,111
12849,32.0,148.0,3090.56,4,4,5,445
12850,446.0,2.0,330.0,1,1,2,112
12851,97.0,80.0,284.13,3,4,2,342
12852,291.0,20.0,299.75,2,2,2,222
12853,135.0,153.0,3728.5,3,4,5,345
12854,79.0,271.0,2922.37,3,5,5,355
12855,373.0,67.0,612.84,2,3,3,233
12856,8.0,317.0,2162.68,5,5,4,554
12857,211.0,122.0,3684.25,2,4,5,245
12858,384.0,49.0,177.92,2,3,1,231
12859,459.0,21.0,575.1,1,2,2,122
12860,694.0,17.0,55.47,1,1,1,111
12861,620.0,4.0,68.25,1,1,1,111
12862,426.0,133.0,1008.32,1,4,3,143
12863,53.0,49.0,2775.55,4,3,4,434
12864,139.0,7.0,299.57,3,1,2,312
12865,27.0,194.0,3303.31,4,5,5,455
12866,284.0,63.0,1227.35,2,3,4,234
12867,27.0,1073.0,7866.94,4,5,5,455
12868,186.0,134.0,2043.76,3,4,4,344
12869,682.0,37.0,337.67,1,2,2,122
12870,367.0,95.0,1662.05,2,4,4,244
12871,85.0,18.0,744.02,3,2,3,323
12872,327.0,399.0,3305.26,2,5,5,255
12873,283.0,35.0,2027.3,2,2,4,224
12874,386.0,47.0,933.42,2,3,3,233
12875,144.0,8.0,1356.99,3,1,4,314
12876,58.0,171.0,4068.59,4,4,5,445
12877,4.0,277.0,2955.17,5,5,5,555
12878,19.0,49.0,841.64,5,3,3,533
12879,45.0,12.0,552.57,4,1,2,412
12880,382.0,36.0,640.13,2,2,3,223
12881,276.0,7.0,298.0,2,1,2,212
12882,10.0,13.0,1463.04,5,1,4,514
12883,25.0,42.0,703.47,4,3,3,433
12884,89.0,7.0,309.05,3,1,2,312
12885,64.0,72.0,1158.27,3,3,3,333
12886,68.0,86.0,1351.09,3,4,4,344
12887,384.0,13.0,222.4,2,1,1,211
12888,215.0,7.0,313.77,2,1,2,212
12889,382.0,24.0,370.61,2,2,2,222
12890,25.0,139.0,717.27,4,4,3,443
12891,186.0,12.0,819.5,3,1,3,313
12892,397.0,18.0,263.38,2,2,1,221
12893,31.0,34.0,188.14,4,2,1,421
12894,576.0,21.0,157.35,1,2,1,121
12895,43.0,22.0,347.3,4,2,2,422
12897,205.0,14.0,514.25,2,1,2,212
12898,464.0,32.0,310.96,1,2,2,122
12899,414.0,17.0,366.4,1,1,2,112
12900,423.0,13.0,340.33,1,1,2,112
12901,9.0,121.0,16316.14,5,4,5,545
12902,265.0,10.0,138.68,2,1,1,211
12903,429.0,41.0,833.53,1,3,3,133
12904,19.0,72.0,509.58,5,3,2,532
12905,577.0,55.0,1011.82,1,3,3,133
12906,12.0,63.0,2919.81,5,3,5,535
12907,396.0,25.0,508.91,2,2,2,222
12908,177.0,6.0,1386.0,3,1,4,314
12909,40.0,167.0,3036.02,4,4,5,445
12910,24.0,138.0,5747.02,4,4,5,445
12911,552.0,248.0,1680.47,1,5,4,154
12912,3.0,24.0,1662.3,5,2,4,524
12913,5.0,92.0,6283.24,5,4,5,545
12914,401.0,9.0,223.98,2,1,1,211
12915,149.0,64.0,885.2,3,3,3,333
12916,139.0,186.0,4630.22,3,5,5,355
12917,129.0,53.0,4329.5,3,3,5,335
12919,9.0,52.0,1301.44,5,3,4,534
12920,18.0,60.0,488.09,5,3,2,532
12921,4.0,1555.0,34125.14,5,5,5,555
12922,162.0,28.0,405.38,3,2,2,322
12923,65.0,62.0,789.87,3,3,3,333
12924,89.0,76.0,2423.15,3,3,4,334
12925,5.0,50.0,729.33,5,3,3,533
12926,412.0,274.0,1548.46,1,5,4,154
12927,395.0,11.0,197.31,2,1,1,211
12928,36.0,179.0,4304.89,4,4,5,445
12929,312.0,7.0,102.9,2,1,1,211
12930,79.0,27.0,409.9,3,2,2,322
12931,22.0,275.0,71546.97,4,5,5,455
12932,540.0,95.0,1698.56,1,4,4,144
12933,25.0,294.0,1668.08,4,5,4,454
12934,737.0,2.0,181.65,1,1,1,111
12935,3.0,258.0,4182.01,5,5,5,555
12936,18.0,63.0,1012.9,5,3,3,533
12937,16.0,217.0,3097.61,5,5,5,555
12938,26.0,9.0,114.14,4,1,1,411
12939,65.0,86.0,25264.8,3,4,5,345
12940,47.0,102.0,877.54,4,4,3,443
12941,725.0,27.0,377.49,1,2,2,122
12942,132.0,75.0,683.9,3,3,3,333
12943,559.0,25.0,496.5,1,2,2,122
12944,36.0,30.0,604.51,4,2,3,423
